full_name,squad
Eric_Dier  ,Tottenham
Lucas_Digne  ,Everton
Virgil_van Dijk ,Liverpool
Issa_Diop  ,West Ham
Moussa_Djenepo  ,Southampton
Matt_Doherty  ,Wolves
Abdoulaye_Doucouré  ,Watford
Thomas_Doyle  ,Manchester City
Danny_Drinkwater  ,Burnley
Danny_Drinkwater  ,Aston Villa
Josip_Drmić  ,Norwich City
Martin_Dúbravka  ,Newcastle Utd
Ondrej_Duda  ,Norwich City
Shane_Duffy  ,Brighton
Paul_Dummett  ,Newcastle Utd
Lewis_Dunk  ,Brighton
Ederson,Manchester City
John_Egan  ,Sheffield Utd
Harvey_Elliot  ,Liverpool
Ahmed_Elmohamady  ,Aston Villa
Björn_Engels  ,Aston Villa
Christian_Eriksen  ,Tottenham
Jonny_Evans  ,Leicester City
Łukasz_Fabiański  ,West Ham
Fabinho,Liverpool
Ralf_Fährmann  ,Norwich City
Akin_Famewo  ,Norwich City
Kiko_Femenía  ,Watford
Bruno_Fernandes  ,Manchester Utd
Gedson_Fernandes  ,Tottenham
Federico_Fernández  ,Newcastle Utd
Fernandinho,Manchester City
Roberto_Firmino  ,Liverpool
John_Fleck  ,Sheffield Utd
Phil_Foden  ,Manchester City
Pablo_Fornals  ,West Ham
Ben_Foster  ,Watford
Timothy_Fosu-Mensah  ,Manchester Utd
Dimitri_Foulquier  ,Watford
Juan_Foyth  ,Tottenham
Simon_Francis  ,Bournemouth
Ryan_Fraser  ,Bournemouth
Fred,Manchester Utd
Ryan_Fredericks  ,West Ham
Kieron_Freeman  ,Sheffield Utd
Luke_Freeman  ,Sheffield Utd
Christian_Fuchs  ,Leicester City
Eric_García  ,Manchester City
James_Garner  ,Manchester Utd
Dwight_Gayle  ,Newcastle Utd
Paulo_Gazzaniga  ,Tottenham
Jean-Philippe_Gbamin  ,Everton
David_de Gea ,Manchester Utd
Anwar_El Ghazi ,Aston Villa
Morgan_Gibbs-White  ,Wolves
Billy_Gilmour  ,Chelsea
Olivier_Giroud  ,Chelsea
Ben_Godfrey  ,Norwich City
André_Gomes  ,Everton
Angel_Gomes  ,Manchester Utd
Joe_Gomez  ,Liverpool
Anthony_Gordon  ,Everton
Dan_Gosling  ,Bournemouth
Andre_Gray  ,Watford
Demarai_Gray  ,Leicester City
Jack_Grealish  ,Aston Villa
Mason_Greenwood  ,Manchester Utd
Arnaut_Groeneveld  ,Bournemouth
Pascal_Groß  ,Brighton
Vicente_Guaita  ,Crystal Palace
Mattéo_Guendouzi  ,Arsenal
Frederic_Guilbert  ,Aston Villa
İlkay_Gündoğan  ,Manchester City
Angus_Gunn  ,Southampton
Sébastien_Haller  ,West Ham
Grant_Hanley  ,Norwich City
Kortney_Hause  ,Aston Villa
Isaac_Hayden  ,Newcastle Utd
Tom_Heaton  ,Aston Villa
Dean_Henderson  ,Sheffield Utd
Jordan_Henderson  ,Liverpool
Jeff_Hendrick  ,Burnley
Wayne_Hennessey  ,Crystal Palace
Javier_Hernández  ,West Ham
Onel_Hernández  ,Norwich City
Son_Heung-min  ,Tottenham
George_Hirst  ,Leicester City
Rob_Holding  ,Arsenal
José_Holebas  ,Watford
Mason_Holgate  ,Everton
Nathan_Holland  ,West Ham
Conor_Hourihane  ,Aston Villa
Callum_Hudson-Odoi  ,Chelsea
Will_Hughes  ,Watford
Pierre_Højbjerg  ,Southampton
Jordon_Ibe  ,Bournemouth
Adam_Idah  ,Norwich City
Odion_Ighalo  ,Manchester Utd
Kelechi_Iheanacho  ,Leicester City
Danny_Ings  ,Southampton
Alex_Iwobi  ,Everton
Phil_Jagielka  ,Sheffield Utd
Alireza_Jahanbakhsh  ,Brighton
Daniel_James  ,Manchester Utd
Matty_James  ,Leicester City
Reece_James  ,Chelsea
Daryl_Janmaat  ,Watford
Gabriel_Jesus  ,Manchester City
Raúl_Jiménez  ,Wolves
Joelinton,Newcastle Utd
Ben_Johnson  ,West Ham
Curtis_Jones  ,Liverpool
Phil_Jones  ,Manchester Utd
Bruno_Jordão  ,Wolves
Jorginho,Chelsea
Jota,Aston Villa
Diogo_Jota  ,Wolves
James_Justin  ,Leicester City
Christian_Kabasele  ,Watford
Harry_Kane  ,Tottenham
N'Golo_Kanté  ,Chelsea
Moise_Kean  ,Everton
Michael_Keane  ,Everton
Naby_Keïta  ,Liverpool
Lloyd_Kelly  ,Bournemouth
Martin_Kelly  ,Crystal Palace
Max_Kilman  ,Wolves
Joshua_King  ,Bournemouth
Timm_Klose  ,Norwich City
Jonathan_Kodjia  ,Aston Villa
Sead_Kolašinac  ,Arsenal
Ezri_Konsa  ,Aston Villa
Cheikhou_Kouyaté  ,Crystal Palace
Mateo_Kovačić  ,Chelsea
Emil_Krafth  ,Newcastle Utd
Tim_Krul  ,Norwich City
Alexandre_Lacazette  ,Arsenal
Adam_Lallana  ,Liverpool
Érik_Lamela  ,Tottenham
Tariq_Lamptey  ,Chelsea
Tariq_Lamptey  ,Brighton
Henri_Lansbury  ,Aston Villa
Manuel_Lanzini  ,West Ham
Aymeric_Laporte  ,Manchester City
Jamaal_Lascelles  ,Newcastle Utd
Valentino_Lazaro  ,Newcastle Utd
Moritz_Leitner  ,Norwich City
Florian_Lejeune  ,Newcastle Utd
Aaron_Lennon  ,Burnley
Bernd_Leno  ,Arsenal
Jefferson_Lerma  ,Bournemouth
Jamal_Lewis  ,Norwich City
Victor_Lindelöf  ,Manchester Utd
Jesse_Lingard  ,Manchester Utd
Hugo_Lloris  ,Tottenham
Giovani_Lo Celso ,Tottenham
Jürgen_Locadia  ,Brighton
Ruben_Loftus-Cheek  ,Chelsea
Kevin_Long  ,Burnley
Shane_Long  ,Southampton
Matthew_Longstaff  ,Newcastle Utd
Sean_Longstaff  ,Newcastle Utd
Dejan_Lovren  ,Liverpool
Matthew_Lowton  ,Burnley
David_Luiz  ,Arsenal
Douglas_Luiz  ,Aston Villa
John_Lundstram  ,Sheffield Utd
Alexis_Mac Allister ,Brighton
James_Maddison  ,Leicester City
Harry_Maguire  ,Manchester Utd
Riyad_Mahrez  ,Manchester City
Ainsley_Maitland-Niles  ,Arsenal
Sadio_Mané  ,Liverpool
Javier_Manquillo  ,Newcastle Utd
Solly_March  ,Brighton
Pablo_Marí  ,Arsenal
Adrian_Mariappa  ,Watford
Anthony_Martial  ,Manchester Utd
David_Martin  ,West Ham
Josh_Martin  ,Norwich City
Martinelli,Arsenal
Emiliano_Martínez  ,Arsenal
Adam_Masina  ,Watford
Arthur_Masuaku  ,West Ham
Juan_Mata  ,Manchester Utd
Nemanja_Matić  ,Manchester Utd
Joël_Matip  ,Liverpool
Neal_Maupay  ,Brighton
James_McArthur  ,Crystal Palace
Oliver_McBurnie  ,Sheffield Utd
Alex_McCarthy  ,Southampton
James_McCarthy  ,Crystal Palace
John_McGinn  ,Aston Villa
David_McGoldrick  ,Sheffield Utd
Michael_McGovern  ,Norwich City
Kenny_McLean  ,Norwich City
Dwight_McNeil  ,Burnley
Scott_McTominay  ,Manchester Utd
Ben_Mee  ,Burnley
Benjamin_Mendy  ,Manchester City
Nampalys_Mendy  ,Leicester City
Chris_Mepham  ,Bournemouth
Max_Meyer  ,Crystal Palace
Luka_Milivojević  ,Crystal Palace
James_Milner  ,Liverpool
Yerry_Mina  ,Everton
Takumi_Minamino  ,Liverpool
Tyrone_Mings  ,Aston Villa
Tyrick_Mitchell  ,Crystal Palace
Henrikh_Mkhitaryan  ,Arsenal
Nacho_Monreal  ,Arsenal
Martín_Montoya  ,Brighton
Simon_Moore  ,Sheffield Utd
Aaron_Mooy  ,Brighton
Wesley_Moraes  ,Aston Villa
Wes_Morgan  ,Leicester City
Ravel_Morrison  ,Sheffield Utd
Mason_Mount  ,Chelsea
Lucas_Moura  ,Tottenham
Lys_Mousset  ,Sheffield Utd
João_Moutinho  ,Wolves
Glenn_Murray  ,Brighton
Shkodran_Mustafi  ,Arsenal
Yoshinori_Mutō  ,Newcastle Utd
Georges-Kévin_N'Koudou  ,Tottenham
Marvelous_Nakamba  ,Aston Villa
Wilfred_Ndidi  ,Leicester City
Tanguy_Ndombele  ,Tottenham
Reiss_Nelson  ,Arsenal
Pedro_Neto  ,Wolves
Rúben_Neves  ,Wolves
Jeremy_Ngakia  ,West Ham
Oumar_Niasse  ,Everton
Eddie_Nketiah  ,Arsenal
Mark_Noble  ,West Ham
Oliver_Norwood  ,Sheffield Utd
Ørjan_Nyland  ,Aston Villa
Jack_O'Connell  ,Sheffield Utd
Michael_Obafemi  ,Southampton
Angelo_Ogbonna  ,West Ham
Divock_Origi  ,Liverpool
Ben_Osborn  ,Sheffield Utd
Nicolás_Otamendi  ,Manchester City
Alex_Oxlade-Chamberlain  ,Liverpool
Mesut_Özil  ,Arsenal
Emerson_Palmieri  ,Chelsea
Sokratis_Papastathopoulos  ,Arsenal
Troy_Parrott  ,Tottenham
Rui_Patrício  ,Wolves
Pedro,Chelsea
João_Pedro  ,Watford
Nicolas_Pépé  ,Arsenal
Andreas_Pereira  ,Manchester Utd
Ricardo_Pereira  ,Leicester City
Roberto_Pereyra  ,Watford
Ayoze_Pérez  ,Leicester City
Jordan_Pickford  ,Everton
Brandon_Pierrick  ,Crystal Palace
Erik_Pieters  ,Burnley
Daniel_Podence  ,Wolves
Paul_Pogba  ,Manchester Utd
Nick_Pope  ,Burnley
Dennis_Praet  ,Leicester City
Sebastian_Prödl  ,Watford
Davy_Pröpper  ,Brighton
Teemu_Pukki  ,Norwich City
Christian_Pulisic  ,Chelsea
Ignacio_Pussetto  ,Watford
Domingos_Quina  ,Watford
Aaron_Ramsdale  ,Bournemouth
Darren_Randolph  ,West Ham
Marcus_Rashford  ,Manchester Utd
Nathan_Redmond  ,Southampton
Pepe_Reina  ,Aston Villa
Declan_Rice  ,West Ham
Richarlison,Everton
Diego_Rico  ,Bournemouth
Jaïro_Riedewald  ,Crystal Palace
Matt_Ritchie  ,Newcastle Utd
Roberto,West Ham
Patrick_Roberts  ,Norwich City
Andrew_Robertson  ,Liverpool
Callum_Robinson  ,Sheffield Utd
Jack_Robinson  ,Sheffield Utd
Rodri,Manchester City
Jay_Rodriguez  ,Burnley
Jack_Rodwell  ,Sheffield Utd
Marcos_Rojo  ,Manchester Utd
Oriol_Romeu  ,Southampton
Danny_Rose  ,Tottenham
Danny_Rose  ,Newcastle Utd
Antonio_Rüdiger  ,Chelsea
Lukas_Rupp  ,Norwich City
Mathew_Ryan  ,Brighton
Allan_Saint-Maximin  ,Newcastle Utd
Romain_Saïss  ,Wolves
Bukayo_Saka  ,Arsenal
Mamadou_Sakho  ,Crystal Palace
Mohamed_Salah  ,Liverpool
Mbwana_Samatta  ,Aston Villa
Carlos_Sánchez  ,West Ham
Davinson_Sánchez  ,Tottenham
Leroy_Sané  ,Manchester City
Ismaila_Sarr  ,Watford
Fabian_Schär  ,Newcastle Utd
Ezequiel_Schelotto  ,Brighton
Jeffrey_Schlupp  ,Crystal Palace
Kasper_Schmeichel  ,Leicester City
Morgan_Schneiderlin  ,Everton
Ryan_Sessegnon  ,Tottenham
Xherdan_Shaqiri  ,Liverpool
Billy_Sharp  ,Sheffield Utd
Luke_Shaw  ,Manchester Utd
Jonjo_Shelvey  ,Newcastle Utd
Djibril_Sidibé  ,Everton
Gylfi_Sigurðsson  ,Everton
Bernardo_Silva  ,Manchester City
David_Silva  ,Manchester City
Jack_Simpson  ,Bournemouth
Moussa_Sissoko  ,Tottenham
Oliver_Skipp  ,Tottenham
William_Smallbone  ,Southampton
Adam_Smith  ,Bournemouth
Emile_Smith-Rowe  ,Arsenal
Robert_Snodgrass  ,West Ham
Cédric_Soares  ,Arsenal
Cédric_Soares  ,Southampton
Dominic_Solanke  ,Bournemouth
Tomáš_Souček  ,West Ham
Çağlar_Söyüncü  ,Leicester City
Dennis_Srbeny  ,Norwich City
Jack_Stacey  ,Bournemouth
Junior_Stanislas  ,Bournemouth
Jed_Steer  ,Aston Villa
Dale_Stephens  ,Brighton
Jack_Stephens  ,Southampton
Raheem_Sterling  ,Manchester City
Enda_Stevens  ,Sheffield Utd
Marco_Stiepermann  ,Norwich City
John_Stones  ,Manchester City
Isaac_Success  ,Watford
Ki_Sung-yueng  ,Newcastle Utd
Andrew_Surman  ,Bournemouth
Sam_Surridge  ,Bournemouth
Japhet_Tanganga  ,Tottenham
Matt_Targett  ,Aston Villa
James_Tarkowski  ,Burnley
Charlie_Taylor  ,Burnley
Neil_Taylor  ,Aston Villa
Nathan_Tella  ,Southampton
Alexander_Tettey  ,Norwich City
Jordan_Thomas  ,Norwich City
Luke_Thomas  ,Leicester City
Max_Thompson  ,Burnley
Youri_Tielemans  ,Leicester City
Kieran_Tierney  ,Arsenal
James_Tomkins  ,Crystal Palace
Fikayo_Tomori  ,Chelsea
Lucas_Torreira  ,Arsenal
Cenk_Tosun  ,Crystal Palace
Cenk_Tosun  ,Everton
Andros_Townsend  ,Crystal Palace
Adama_Traoré  ,Wolves
Mark_Travers  ,Bournemouth
Trézéguet,Aston Villa
Leandro_Trossard  ,Brighton
Tom_Trybull  ,Norwich City
Axel_Tuanzebe  ,Manchester Utd
Yan_Valery  ,Southampton
Jesús_Vallejo  ,Wolves
Jamie_Vardy  ,Leicester City
Indiana_Vassilev  ,Aston Villa
Jan_Vertonghen  ,Tottenham
Jannik_Vestergaard  ,Southampton
Rúben_Vinagre  ,Wolves
Jake_Vokins  ,Southampton
Mario_Vrančić  ,Norwich City
Matěj_Vydra  ,Burnley
Theo_Walcott  ,Everton
Kyle_Walker  ,Manchester City
Kyle_Walker-Peters  ,Southampton
Kyle_Walker-Peters  ,Tottenham
Aaron_Wan-Bissaka  ,Manchester Utd
Victor_Wanyama  ,Tottenham
Joel_Ward  ,Crystal Palace
James_Ward-Prowse  ,Southampton
Kelland_Watts  ,Newcastle Utd
Adam_Webster  ,Brighton
Danny_Welbeck  ,Watford
Ashley_Westwood  ,Burnley
Patrick_van Aanholt ,Crystal Palace
Sergio_Agüero  ,Manchester City
Nathan_Aké  ,Bournemouth
Marc_Albrighton  ,Leicester City
Toby_Alderweireld  ,Tottenham
Trent_Alexander-Arnold  ,Liverpool
Alisson,Liverpool
Dele_Alli  ,Tottenham
Miguel_Almirón  ,Newcastle Utd
Marcos_Alonso  ,Chelsea
Daniel_Amartey  ,Leicester City
Luke_Amos  ,Tottenham
Felipe_Anderson  ,West Ham
Florin_Andone  ,Brighton
Michail_Antonio  ,West Ham
Stuart_Armstrong  ,Southampton
Marko_Arnautović  ,West Ham
Kepa_Arrizabalaga  ,Chelsea
Harry_Arter  ,Cardiff City
Christian_Atsu  ,Newcastle Utd
Pierre-Emerick_Aubameyang  ,Arsenal
Serge_Aurier  ,Tottenham
Charlie_Austin  ,Southampton
Jordan_Ayew  ,Crystal Palace
Floyd_Ayité  ,Fulham
César_Azpilicueta  ,Chelsea
Ryan_Babel  ,Fulham
Juninho_Bacuna  ,Huddersfield
Leandro_Bacuna  ,Cardiff City
Eric_Bailly  ,Manchester Utd
Leighton_Baines  ,Everton
Fabián_Balbuena  ,West Ham
Leon_Balogun  ,Brighton
Sol_Bamba  ,Cardiff City
Phil_Bardsley  ,Burnley
Ross_Barkley  ,Chelsea
Ashley_Barnes  ,Burnley
Harvey_Barnes  ,Leicester City
Antonio_Barreca  ,Newcastle Utd
Michy_Batshuayi  ,Crystal Palace
Jan_Bednarek  ,Southampton
Asmir_Begović  ,Bournemouth
Héctor_Bellerín  ,Arsenal
Joe_Bennett  ,Cardiff City
Ryan_Bennett  ,Wolves
Christian_Benteke  ,Crystal Palace
Jóhann_Berg Guðmundsson ,Burnley
Bernard,Everton
Bernardo,Brighton
Ryan_Bertrand  ,Southampton
Marcus_Bettinelli  ,Fulham
Philip_Billing  ,Huddersfield
Yves_Bissouma  ,Brighton
Willy_Boly  ,Wolves
Léo_Bonatini  ,Wolves
Gaëtan_Bong  ,Brighton
Artur_Boruc  ,Bournemouth
Robbie_Brady  ,Burnley
Miguel_Britos  ,Watford
David_Brooks  ,Bournemouth
Bruno,Brighton
Joe_Bryan  ,Fulham
David_Button  ,Brighton
Willy_Caballero  ,Chelsea
Gary_Cahill  ,Chelsea
Tom_Cairney  ,Fulham
Dominic_Calvert-Lewin  ,Everton
Rafael_Camacho  ,Liverpool
Víctor_Camarasa  ,Cardiff City
Étienne_Capoue  ,Watford
Andy_Carroll  ,West Ham
Jonny_Castro  ,Wolves
Craig_Cathcart  ,Watford
Ivan_Cavaleiro  ,Wolves
Petr_Čech  ,Arsenal
Nathaniel_Chalobah  ,Watford
Calum_Chambers  ,Fulham
Ben_Chilwell  ,Leicester City
Tahith_Chong  ,Manchester Utd
Hamza_Choudhury  ,Leicester City
Andreas_Christensen  ,Chelsea
Cyrus_Christie  ,Fulham
Ibrahima_Cissé  ,Fulham
Ciaran_Clark  ,Newcastle Utd
Tom_Cleverley  ,Watford
Nathaniel_Clyne  ,Bournemouth
Nathaniel_Clyne  ,Liverpool
Conor_Coady  ,Wolves
Joel_Coleman  ,Huddersfield
Séamus_Coleman  ,Everton
Lewis_Cook  ,Bournemouth
Steve_Cook  ,Bournemouth
Jack_Cork  ,Burnley
Hélder_Costa  ,Wolves
Aaron_Cresswell  ,West Ham
Peter_Crouch  ,Burnley
Greg_Cunningham  ,Cardiff City
Diogo_Dalot  ,Manchester Utd
Matty_Daly  ,Huddersfield
Loïc_Damour  ,Cardiff City
Charlie_Daniels  ,Bournemouth
Danilo,Manchester City
Scott_Dann  ,Crystal Palace
Matteo_Darmian  ,Manchester Utd
Ben_Davies  ,Tottenham
Tom_Davies  ,Everton
Steven_Davis  ,Southampton
Kevin_De Bruyne ,Manchester City
Troy_Deeney  ,Watford
Jermain_Defoe  ,Bournemouth
Steven_Defour  ,Burnley
Fabian_Delph  ,Manchester City
Mousa_Dembélé  ,Tottenham
Leander_Dendoncker  ,Wolves
Laurent_Depoitre  ,Huddersfield
Gerard_Deulofeu  ,Watford
Fousseni_Diabaté  ,Leicester City
Adama_Diakhaby  ,Huddersfield
Mohamed_Diamé  ,Newcastle Utd
Grady_Diangana  ,West Ham
Eric_Dier  ,Tottenham
Lucas_Digne  ,Everton
Virgil_van Dijk ,Liverpool
Issa_Diop  ,West Ham
Matt_Doherty  ,Wolves
Abdoulaye_Doucouré  ,Watford
Luke_Dreher  ,Crystal Palace
Martin_Dúbravka  ,Newcastle Utd
Shane_Duffy  ,Brighton
Demeaco_Duhaney  ,Huddersfield
Paul_Dummett  ,Newcastle Utd
Lewis_Dunk  ,Brighton
Erik_Durm  ,Huddersfield
Bruno_Ecuele Manga ,Cardiff City
Ederson,Manchester City
Harvey_Elliot  ,Fulham
Mohamed_Elneny  ,Arsenal
Mohamed_Elyounoussi  ,Southampton
Christian_Eriksen  ,Tottenham
Neil_Etheridge  ,Cardiff City
Jonny_Evans  ,Leicester City
Łukasz_Fabiański  ,West Ham
Fabinho,Liverpool
Cesc_Fàbregas  ,Chelsea
Fabricio,Fulham
Marouane_Fellaini  ,Manchester Utd
Kiko_Femenía  ,Watford
Federico_Fernández  ,Newcastle Utd
Fernandinho,Manchester City
Roberto_Firmino  ,Liverpool
Phil_Foden  ,Manchester City
Fraser_Forster  ,Southampton
Ben_Foster  ,Watford
Timothy_Fosu-Mensah  ,Fulham
Juan_Foyth  ,Tottenham
Simon_Francis  ,Bournemouth
Ryan_Fraser  ,Bournemouth
Fred,Manchester Utd
Ryan_Fredericks  ,West Ham
Christian_Fuchs  ,Leicester City
Manolo_Gabbiadini  ,Southampton
Sam_Gallagher  ,Southampton
Idrissa_Gana Gueye ,Everton
James_Garner  ,Manchester Utd
Paulo_Gazzaniga  ,Tottenham
David_de Gea ,Manchester Utd
Rachid_Ghezzal  ,Leicester City
Morgan_Gibbs-White  ,Wolves
Ben_Gibson  ,Burnley
Olivier_Giroud  ,Chelsea
André_Gomes  ,Everton
Angel_Gomes  ,Manchester Utd
Joe_Gomez  ,Liverpool
Jon_Gorenc Stanković ,Huddersfield
Dan_Gosling  ,Bournemouth
Karlan_Grant  ,Huddersfield
Andre_Gray  ,Watford
Demarai_Gray  ,Leicester City
Mason_Greenwood  ,Manchester Utd
Pascal_Groß  ,Brighton
Vicente_Guaita  ,Crystal Palace
Mattéo_Guendouzi  ,Arsenal
İlkay_Gündoğan  ,Manchester City
Angus_Gunn  ,Southampton
Aron_Gunnarsson  ,Cardiff City
Florent_Hadergjonaj  ,Huddersfield
Ben_Hamer  ,Huddersfield
Kadeem_Harris  ,Cardiff City
Joe_Hart  ,Burnley
Isaac_Hayden  ,Newcastle Utd
Eden_Hazard  ,Chelsea
Rhys_Healey  ,Cardiff City
Tom_Heaton  ,Burnley
Jordan_Henderson  ,Liverpool
Jeff_Hendrick  ,Burnley
Wayne_Hennessey  ,Crystal Palace
Javier_Hernández  ,West Ham
Ander_Herrera  ,Manchester Utd
Son_Heung-min  ,Tottenham
Gonzalo_Higuaín  ,Chelsea
Wesley_Hoedt  ,Southampton
Jonathan_Hogg  ,Huddersfield
Junior_Hoilett  ,Cardiff City
Rob_Holding  ,Arsenal
José_Holebas  ,Watford
Mason_Holgate  ,Everton
Callum_Hudson-Odoi  ,Chelsea
Will_Hughes  ,Watford
Emerson_Hyndman  ,Bournemouth
Pierre_Højbjerg  ,Southampton
Jordon_Ibe  ,Bournemouth
Vicente_Iborra  ,Leicester City
Kelechi_Iheanacho  ,Leicester City
Danny_Ings  ,Southampton
Alex_Iwobi  ,Arsenal
José_Izquierdo  ,Brighton
Phil_Jagielka  ,Everton
Alireza_Jahanbakhsh  ,Brighton
Daryl_Janmaat  ,Watford
Vincent_Janssen  ,Tottenham
Carl_Jenkinson  ,Arsenal
Gabriel_Jesus  ,Manchester City
Raúl_Jiménez  ,Wolves
Stefan_Johansen  ,Fulham
Ben_Johnson  ,West Ham
Tyreke_Johnson  ,Southampton
Phil_Jones  ,Manchester Utd
Jorginho,Chelsea
Joselu,Newcastle Utd
Diogo_Jota  ,Wolves
Mathias_Jørgensen  ,Huddersfield
Christian_Kabasele  ,Watford
Elias_Kachunga  ,Huddersfield
Aboubakar_Kamara  ,Fulham
Harry_Kane  ,Tottenham
N'Golo_Kanté  ,Chelsea
Beram_Kayal  ,Brighton
Michael_Keane  ,Everton
Neeskens_Kebano  ,Fulham
Naby_Keïta  ,Liverpool
Martin_Kelly  ,Crystal Palace
Kenedy,Newcastle Utd
Jonjoe_Kenny  ,Everton
Max_Kilman  ,Wolves
Joshua_King  ,Bournemouth
Anthony_Knockaert  ,Brighton
Sead_Kolašinac  ,Arsenal
Vincent_Kompany  ,Manchester City
Terence_Kongolo  ,Huddersfield
Laurent_Koscielny  ,Arsenal
Cheikhou_Kouyaté  ,Crystal Palace
Mateo_Kovačić  ,Chelsea
Rajiv_van La Parra,Huddersfield
Alexandre_Lacazette  ,Arsenal
Adam_Lallana  ,Liverpool
Érik_Lamela  ,Tottenham
Manuel_Lanzini  ,West Ham
Aymeric_Laporte  ,Manchester City
Jamaal_Lascelles  ,Newcastle Utd
Maxime_Le Marchand ,Fulham
Florian_Lejeune  ,Newcastle Utd
Mario_Lemina  ,Southampton
Aaron_Lennon  ,Burnley
Bernd_Leno  ,Arsenal
Jefferson_Lerma  ,Bournemouth
Stephan_Lichtsteiner  ,Arsenal
Victor_Lindelöf  ,Manchester Utd
Jesse_Lingard  ,Manchester Utd
Fernando_Llorente  ,Tottenham
Hugo_Lloris  ,Tottenham
Jürgen_Locadia  ,Brighton
Ruben_Loftus-Cheek  ,Chelsea
Kevin_Long  ,Burnley
Shane_Long  ,Southampton
Sean_Longstaff  ,Newcastle Utd
Ademola_Lookman  ,Everton
Jonas_Lössl  ,Huddersfield
Dejan_Lovren  ,Liverpool
Chris_Löwe  ,Huddersfield
Matthew_Lowton  ,Burnley
David_Luiz  ,Chelsea
Romelu_Lukaku  ,Manchester Utd
James_Maddison  ,Leicester City
Gary_Madine  ,Cardiff City
Harry_Maguire  ,Leicester City
Riyad_Mahrez  ,Manchester City
