web_name,elite_selected,change,ovr_selected
Dier,0.012,-0.013,0.013
Mings,0.011,0.006,0.138
Douglas,0.01,0,0.053
Keane,0.009,0.001,0.06
Webster,0.008,0,0.018
Lascelles,0.008,-0.005,0.018
Vestergaard,0.004,0.001,0.098
Maguire,0.004,0.004,0.032
Holding,0.004,-0.002,0.013
Vinagre,0.004,-0.003,0.012
Davies,0.004,-0.005,0.01
Phillips,0.004,0.004,0.007
Wan-Bissaka,0.003,0.001,0.093
Castagne,0.003,0.001,0.089
Boly,0.003,-0.001,0.028
Casey,0.003,0.001,0.015
Cooper,0.003,-0.001,0.006
Gabriel,0.002,0.002,0.113
Johnson,0.002,-0.001,0.02
White,0.002,0,0.013
Saliba,0.002,-0.001,0.008
Shaw,0.002,-0.001,0.008
Ivanovic,0.002,0,0.001
Doherty,0.001,-0.004,0.071
Tierney,0.001,-0.002,0.051
Laporte,0.001,0.001,0.028
Dunk,0.001,0,0.027
Bednarek,0.001,0.001,0.019
Aurier,0.001,0,0.017
Dann,0.001,0.001,0.009
Coleman,0.001,0,0.009
Cash,0.001,0.001,0.007
Bardsley,0.001,0,0.003
Fredericks,0.001,0,0.003
Nkounkou,0.001,0,0.002
Bartley,0.001,0,0.002
Lowton,0.001,0.001,0.001
Cahill,0.001,0,0.001
Marçal,0.001,0,0.001
Tomkins,0.001,0,0
Grealish,0.8,0.231,0.407
Fernandes,0.773,0.705,0.349
Son,0.7,-0.251,0.563
Ziyech,0.309,0.184,0.189
De Bruyne,0.272,0.207,0.176
Bissouma,0.239,-0.041,0.034
Salah,0.235,-0.727,0.279
Zaha,0.192,-0.003,0.302
Rodríguez,0.192,-0.001,0.299
Soucek,0.191,0.003,0.03
Podence,0.129,-0.116,0.034
Foden,0.117,-0.119,0.062
Sterling,0.107,-0.011,0.046
Burke,0.098,-0.007,0.008
Rashford,0.09,-0.007,0.075
Anguissa,0.073,-0.005,0.019
Jota,0.069,0.05,0.116
Mané,0.056,0.031,0.131
Barkley,0.054,-0.001,0.044
Stephens,0.043,-0.003,0.06
Bowen,0.042,-0.011,0.022
Riedewald,0.036,0.024,0.018
Reed,0.035,-0.027,0.006
Barnes,0.027,-0.02,0.037
Saint-Maximin,0.018,-0.01,0.061
Aubameyang,0.011,-0.001,0.128
Jorginho,0.009,-0.004,0.102
Klich,0.008,-0.002,0.06
Trossard,0.008,-0.021,0.012
McGinn,0.007,0,0.023
Alzate,0.007,-0.002,0.008
Lookman,0.007,-0.003,0.004
Oriol Romeu,0.006,-0.002,0.045
Mendy,0.006,0,0.03
Ward-Prowse,0.005,-0.003,0.067
Fornals,0.004,-0.002,0.019
Pulisic,0.004,-0.017,0.018
Neto,0.003,0,0.018
Gordon,0.003,0.001,0.006
Saka,0.002,0,0.028
Mahrez,0.002,-0.008,0.022
Pereira,0.002,-0.004,0.014
Havertz,0.001,-0.001,0.038
Greenwood,0.001,-0.002,0.024
Harrison,0.001,0,0.016
Bale,0.001,0,0.01
Lemina,0.001,0,0.004
James,0.001,0,0.004
Walcott,0.001,0.001,0.004
Smallbone,0.001,0,0.003
Norwood,0.001,0,0.002
Calvert-Lewin,0.839,0.04,0.582
Kane,0.663,-0.131,0.447
Watkins,0.286,0.185,0.095
Brewster,0.245,0.012,0.061
Bamford,0.224,0.045,0.356
Werner,0.193,0.002,0.252
Jiménez,0.173,-0.051,0.155
Wilson,0.086,-0.043,0.119
Vardy,0.083,0.064,0.238
Mitrović,0.059,-0.078,0.065
Maupay,0.051,-0.027,0.039
Adams,0.037,-0.005,0.047
Davis,0.027,-0.017,0.079
Richarlison,0.011,0.011,0.041
Martial,0.007,0.004,0.041
Antonio,0.005,-0.001,0.021
Vassilev,0.003,-0.002,0.007
Wood,0.002,-0.003,0.01
Delap,0.002,-0.001,0.009
Wickham,0.002,0,0.006
Ings,0.001,-0.005,0.066
Jesus,0.001,0.001,0.011
